Filename,ProductName,Version
vcredist_x64.exe,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0
vcredist_x86.exe,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0.30501.0
MicrosoftAzureComputeEmulator-x64.exe,Windows Installer XML,3.0.5419.0
lghub.exe,LGHUB,2019.8.24330.0
lghub_agent.exe,LGHUB Agent,2019.8.24330.0
lghub_updater.exe,LGHUB Updater,2019.8.24330.0
Dota2ArxApplet.exe,Logitech Gaming Framework,9.2.65.0
CS_GO_Arx_Applet.exe,Logitech Gaming Framework,9.2.65.0
AssettoCorsaArxApplet.exe,Logitech Gaming Framework,9.2.65.0
RevitDatabase_Desktop.exe,RevitDatabase_Desktop,1.0.0.0
RevitDatabase_Desktop.exe,RevitDatabase_Desktop,1.0.0.0
ProgramsList.exe,ProgramsList,1.0.0.0
ProgramsList.exe,ProgramsList,1.0.0.0
ProgramsList.exe,ProgramsList,1.0.0.0
ProgramsList.exe,ProgramsList,1.0.0.0
Mortar and pestle.exe,Mortar and pestle,1.0.0.0
Mortar and pestle.exe,Mortar and pestle,1.0.0.0
Mortar and pestle.exe,Mortar and pestle,1.0.0.0
Mortar and pestle.exe,Mortar and pestle,1.0.0.0
RockPaperScissors.exe,RockPaperScissors,1.0.0.0
RockPaperScissors.exe,RockPaperScissors,1.0.0.0
PhoneBookConsoleApp.exe,PhoneBookConsoleApp,1.0.0.0
PhoneBookConsoleApp.exe,PhoneBookConsoleApp,1.0.0.0
PhoneBookConsoleApp.exe,PhoneBookConsoleApp,1.0.0.0
PhoneBookConsoleApp.vshost.exe,Microsoft® Visual Studio® 2013 ,12.0.30723.0
PhoneBookConsoleApp.exe,PhoneBookConsoleApp,1.0.0.0
PhoneBookConsoleApp.vshost.exe,Microsoft® Visual Studio® 2013 ,12.0.30723.0
Mortar and pestle.exe,Mortar and pestle,1.0.0.0
Mortar and pestle.exe,Mortar and pestle,1.0.0.0
Mortar and pestle.exe,Mortar and pestle,1.0.0.0
Mortar and pestle.exe,Mortar and pestle,1.0.0.0
Hangman.exe,Hangman,1.0.0.0
Hangman.exe,Hangman,1.0.0.0
Hangman.exe,Hangman,1.0.0.0
Hangman.exe,Hangman,1.0.0.0
FizzBuzz.exe,FizzBuzz,1.0.0.0
FizzBuzz.exe,FizzBuzz,1.0.0.0
FizzBuzz.vshost.exe,Microsoft® Visual Studio® 2015,14.0.23107.0
Fez Alphabet Cypher.exe,Fez Alphabet Cypher,1.0.0.0
Fez Alphabet Cypher.exe,Fez Alphabet Cypher,1.0.0.0
Fez Alphabet Cypher.exe,Fez Alphabet Cypher,1.0.0.0
Fez Alphabet Cypher.exe,Fez Alphabet Cypher,1.0.0.0
Fez Alphabet Cypher.vshost.exe,Microsoft® Visual Studio® 2013 ,12.0.30723.0
AccessRuntime.exe,,12.0.6425.1000
CryoTracker-v1.0.0 Setup.exe,CryoTracker                                                 ,1.0.0.0
CryoTracker.exe,CryoTracker,1.0.0.0
CryoTracker.exe,CryoTracker,1.0.0.0
CryoTracker.exe,CryoTracker,1.0.0.0
CryoTracker.exe,CryoTracker,1.0.0.0
CryoTracker.exe,CryoTracker,1.0.0.0
Checkbook Setup-v1.0.exe,Checkbook                                                   ,1.0.0.0
Checkbook Setup-v1.1.exe,Checkbook                                                   ,1.1.0.0
Checkbook Setup-v1.2.exe,Checkbook                                                   ,1.2.0.0
Checkbook Setup.exe,Checkbook                                                   ,1.6.6.0
AccessRuntime.exe,,12.0.6425.1000
Checkbook.exe,Checkbook,1.0.0.0
Checkbook Setup.exe,Checkbook                                                   ,1.6.6.0
Checkbook.exe,Checkbook,1.0.0.0
Checkbook.exe,Checkbook,1.0.0.0
Checkbook.exe,Checkbook,1.0.0.0
Checkbook.vshost.exe,Microsoft® Visual Studio® 2015,14.0.23107.0
Checkbook.exe,Checkbook,1.0.0.0
Checkbook.vshost.exe,Microsoft® Visual Studio® 2015,14.0.23107.0
vcredist_x86.exe,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0.30501.0
VC_redist.x86.exe,Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.24.28127,14.24.28127.4
WirelessSetup.exe,Intel® Software Installer,21.50.1.1
AacSetup.exe,ENE RGB HAL,1.0.9.0
AacSetup.exe,ENE_EHD_HAL,1.0.2.0
vcredist_x86.exe,Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0
VC_redist.x64.exe,Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.24.28127,14.24.28127.4
dotnet-sdk-2.1.801-win-x64.exe,Microsoft .NET Core SDK 2.1.801 (x64),2.1.801.0
winsdksetup.exe,Windows Software Development Kit - Windows 10.0.18362.1,10.1.18362.1
vcredist_x64.exe,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0
ConfigSecurityPolicy.exe,Microsoft® Windows® Operating System,4.18.18362.1
MpCmdRun.exe,Microsoft® Windows® Operating System,4.18.1911.3
MsMpEng.exe,Microsoft® Windows® Operating System,4.18.1911.3
NisSrv.exe,Microsoft® Windows® Operating System,4.18.1911.3
ConfigSecurityPolicy.exe,Microsoft® Windows® Operating System,4.18.18362.1
MpCmdRun.exe,Microsoft® Windows® Operating System,4.18.1910.4
MsMpEng.exe,Microsoft® Windows® Operating System,4.18.1910.4
NisSrv.exe,Microsoft® Windows® Operating System,4.18.1910.4
vs_bootstrapper.exe,Microsoft Visual Studio Setup,16.3.29418.71
WinSdkInstaller.exe,Microsoft® Visual Studio®,16.0.29416.201
winsdksetup.exe,Windows Software Development Kit - Windows 10.0.18362.1,10.1.18362.1
VSInitializer.exe,Microsoft® Visual Studio®,16.0.29313.120
EnableGraphicsTools.exe,Microsoft® Visual Studio®,16.0.28315.86
VsJustInTimeDebuggerRegistrationHelper.exe,Microsoft® Windows® Operating System,16.0.28911.42
VC_redist.x86.exe,Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.24.28127,14.24.28127.4
VC_redist.x64.exe,Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.24.28127,14.24.28127.4
vcredist_x64.exe,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0
vcredist_x86.exe,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0.30501.0
MicrosoftAzureComputeEmulator-x64.exe,Windows Installer XML,3.0.5419.0
lghub.exe,LGHUB,2019.8.24330.0
lghub_agent.exe,LGHUB Agent,2019.8.24330.0
lghub_updater.exe,LGHUB Updater,2019.8.24330.0
Dota2ArxApplet.exe,Logitech Gaming Framework,9.2.65.0
CS_GO_Arx_Applet.exe,Logitech Gaming Framework,9.2.65.0
AssettoCorsaArxApplet.exe,Logitech Gaming Framework,9.2.65.0
Contents64.exe,Contents64,1.3.0.0
ContextMenu64.exe,ContextMenu64,1.2.5.0
XYcopy.exe,XYplorer,2.10.0.149
XYplorer.exe,XYplorer,20.50.0.100
ImagingDevices.exe,Microsoft® Windows® Operating System,6.2.18362.1
wordpad.exe,Microsoft® Windows® Operating System,6.2.18362.267
setup_wm.exe,Microsoft® Windows® Operating System,12.0.18362.1
wmlaunch.exe,Microsoft® Windows® Operating System,12.0.18362.1
wmpconfig.exe,Microsoft® Windows® Operating System,12.0.18362.449
wmplayer.exe,Microsoft® Windows® Operating System,12.0.18362.449
wmprph.exe,Microsoft® Windows® Operating System,12.0.18362.1
wmpshare.exe,Microsoft® Windows® Operating System,12.0.18362.449
wab.exe,Microsoft® Windows® Operating System,6.2.18362.1
wabmig.exe,Microsoft® Windows® Operating System,6.2.18362.1
TE.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.ManagedHost.exe,,10.34.1812.20007
TE.ProcessHost.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.ProcessHost.UAP.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.ManagedHost.exe,,10.34.1812.20007
TE.ProcessHost.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.ProcessHost.UAP.exe,Test Authoring and Execution Framework,10.34.1812.20007
Wex.Services.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.ProcessHost.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.ProcessHost.UAP.exe,Test Authoring and Execution Framework,10.34.1812.20007
Wex.Services.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.ProcessHost.exe,Test Authoring and Execution Framework,10.34.1812.20007
TE.ProcessHost.UAP.exe,Test Authoring and Execution Framework,10.34.1812.20007
accevent.exe,Microsoft Active Accessibility,7.2.0.0
adpcmencode3.exe,Microsoft® Windows® Operating System,10.0.18362.1
betest.exe,BETest,10.0.18362.1
bulkmetadatapackagingwizard.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
cert2spc.exe,Microsoft® Windows® Operating System,10.0.18362.1
certmgr.exe,Microsoft® Windows® Operating System,10.0.18362.1
ComparePackage.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
computerhardwareids.exe,Microsoft® Windows® Operating System,10.0.18362.1
convert-moftoprovider.exe,Microsoft® Windows® Operating System,10.0.18362.1
cppwinrt.exe,C++/WinRT,1.0.0.1
ctrpp.exe,Microsoft® Windows® Operating System,10.0.18362.1
DeviceMetadataWizard.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
dxc.exe,Microsoft® Windows® Operating System,10.0.18362.1
dxcapsviewer.exe,Microsoft® Windows® Operating System,10.0.18362.1
espexe.exe,Microsoft® Windows® Operating System,10.0.18362.1
extidgen.exe,,1.0.0.0
filetypeverifier.exe,Microsoft® Windows® Operating System,10.0.18362.1
filtdump.exe,Microsoft® Windows® Operating System,10.0.18362.1
filtreg.exe,Microsoft® Windows® Operating System,10.0.18362.1
ftquery.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
fxc.exe,Microsoft® Windows® Operating System,10.0.18362.1
gc.exe,Microsoft® Windows® Operating System,5.3.23118.0
genmanifest.exe,Microsoft® Windows® Operating System,10.0.18362.1
graphedt.exe,DirectShow,10.0.0.0
ifilttst.exe,Microsoft® Windows® Operating System,10.0.18362.1
inspect.exe,Microsoft Active Accessibility,7.2.0.0
isxps.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
jsconstraintdebug.exe,Microsoft® Windows® Operating System,10.0.18362.1
makeappx.exe,Microsoft® Windows® Operating System,10.0.18362.1
makecat.exe,Microsoft® Windows® Operating System,10.0.18362.1
makecert.exe,Microsoft® Windows® Operating System,10.0.18362.1
makepri.exe,Microsoft® Windows® Operating System,10.0.18362.1
mbidgenerator.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
mc.exe,Microsoft® Windows® Operating System,10.0.18362.1
mdmerge.exe,Microsoft® Windows® Operating System,10.0.18362.1
mftrace.exe,Media Foundation Tracing Application,1.1.0.1
midl.exe,Microsoft® Windows® Operating System,8.1.622.1
midlc.exe,Microsoft® Windows® Operating System,8.1.622.1
midlrt.exe,Microsoft® Windows® Operating System,10.0.226.1
MsiCert.exe,Windows Installer,5.0.18362.1
MsiDb.exe,Windows Installer,5.0.18362.1
MsiFiler.exe,Windows Installer,5.0.18362.1
MsiInfo.exe,Windows Installer,5.0.18362.1
Msimerg.exe,Windows Installer,5.0.18362.1
MsiMsp.exe,Windows Installer,5.0.18362.1
MsiTran.exe,Windows Installer,5.0.18362.1
mt.exe,Microsoft® Windows® Operating System,10.0.18362.1
muirct.exe,Microsoft® Windows® Operating System,10.0.18362.1
oleview.exe,Microsoft® Windows® Operating System,10.0.18362.1
PackageEditor.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
pktextract.exe,Microsoft® Windows® Operating System,10.0.18362.1
pvk2pfx.exe,Microsoft® Windows® Operating System,10.0.18362.1
rc.exe,Microsoft® Windows® Operating System,10.0.18362.1
regwinmd.exe,Microsoft® Windows® Operating System,10.0.18362.1
signtool.exe,Microsoft® Windows® Operating System,10.0.18362.1
StoreUploader.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
TB3x.exe,TAPIBrowser Application,1.0.0.1
topoedit.exe,Media Foundation Topology Editor,1.0.0.1
tracefmt.exe,Microsoft® Windows® Operating System,10.0.18362.1
tracelog.exe,Microsoft® Windows® Operating System,10.0.18362.1
tracepdb.exe,Microsoft® Windows® Operating System,10.0.18362.1
traceview.exe,,2.1.1.0
tracewpp.exe,Microsoft® Windows® Operating System,10.0.18362.1
uicc.exe,Microsoft® Windows® Operating System,10.0.18362.1
uuidgen.exe,Microsoft® Windows® Operating System,10.0.18362.1
vsdiagview.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
vshadow.exe,VShadow,10.0.18362.1
vssagent.exe,VssAgent,10.0.18362.1
vsstrace.exe,vsstrace,10.0.18362.1
vstorcontrol.exe,Virtual Storage Command Line Control Tool,10.0.18362.1
vswriter.exe,Vswriter,10.0.18362.1
WiLogUtl.exe,Windows Installer,5.0.18362.1
WinAppDeployCmd.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
winmdidl.exe,Microsoft® Windows® Operating System,10.0.18362.1
wsdcodegen.exe,Microsoft (R) Windows (R) Operating System,10.0.18362.1
wsddebug_client.exe,Microsoft® Windows® Operating System,10.0.18362.1
wsddebug_host.exe,Microsoft® Windows® Operating System,10.0.18362.1
wstracedump.exe,Microsoft® Windows® Operating System,10.0.18362.1
